POINTID,NUTS_0,Lucas2009,Lucas2012,Lucas2015,Lucas2018,Coarse,Clay,Sand,Silt,PSDAvailable,TextureFromSurvey,USDA,ISSS
36842134,ES,YES,NO,YES,YES,7,24,31,45,Yes,2009,loam,silty loam
36842110,ES,NO,NO,YES,YES,36,11,54,35,Yes,2015,sandy loam,silty loam
36823326,UK,NO,NO,NO,YES,,,,,No,,,
36823300,UK,NO,NO,NO,YES,,,,,No,,,
36823152,UK,YES,NO,YES,YES,21,28,27,45,Yes,2009,clay loam,silty clay loam
36822900,FR,YES,NO,YES,YES,28,15,23,62,Yes,2009,silt loam,silty loam
36822868,FR,YES,NO,YES,YES,5,16,9,74,Yes,2009,silt loam,silty loam
36822858,FR,YES,NO,YES,YES,8,16,2,82,Yes,2009,silt loam,silty loam
36822814,FR,YES,NO,YES,YES,11,26,12,61,Yes,2009,silt loam,silty loam
36822804,FR,YES,NO,YES,YES,5,29,4,67,Yes,2009,silty clay loam,silty clay loam
36822792,FR,YES,NO,YES,YES,28,32,4,64,Yes,2009,silty clay loam,silty clay loam
36822768,FR,YES,NO,YES,YES,16,48,9,42,Yes,2009,silty clay,silty clay
36822742,FR,YES,NO,YES,YES,2,31,34,35,Yes,2009,clay loam,silty clay loam
36822720,FR,YES,NO,YES,YES,16,15,71,14,Yes,2009,sandy loam,loam
36822540,FR,YES,NO,YES,YES,18,14,66,20,Yes,2009,sandy loam,loam
36822426,FR,YES,NO,YES,YES,9,33,16,50,Yes,2009,silty clay loam,silty clay loam
36822342,FR,YES,NO,YES,YES,18,17,35,48,Yes,2009,loam,silty loam
36822336,FR,NO,NO,NO,YES,,,,,No,,,
36803304,UK,YES,NO,NO,NO,6,12,70,18,Yes,2009,sandy loam,loam
36803286,UK,YES,NO,NO,NO,11,7,79,14,Yes,2009,loamy sand,loamy sand
36803268,UK,NO,NO,NO,YES,,,,,No,,,
36803250,UK,YES,NO,YES,YES,19,19,39,42,Yes,2009,loam,silty loam
36803232,UK,YES,NO,YES,YES,16,22,31,47,Yes,2009,loam,silty loam
36802962,FR,YES,NO,YES,YES,22,9,24,67,Yes,2009,silt loam,silty loam
36802926,FR,YES,NO,YES,YES,14,17,14,68,Yes,2009,silt loam,silty loam
36802854,FR,YES,NO,YES,YES,4,18,2,80,Yes,2009,silt loam,silty loam
36802602,FR,YES,NO,YES,YES,18,12,66,22,Yes,2009,sandy loam,loam
36802106,ES,NO,NO,YES,YES,30,19,29,52,Yes,2015,silt loam,silty loam
36783270,UK,NO,NO,NO,YES,,,,,No,,,
